relative_path,category,word_arabic,word_arabic_stripped,variant,signer_id,handedness,sign_type
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الأَذَانُ.mp4,Diverse,الأَذَانُ,الأذان,,5,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الأَمْنُ الوَطَنِيُّ.mp4,Diverse,الأَمْنُ الوَطَنِيُّ,الأمن الوطني,,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الأُرْدُنُ.mp4,Diverse,الأُرْدُنُ,الأردن,,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ (إِشَارَة 1).mp4,Diverse,الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ,الإمارات العربية المتحدة,1,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ (إِشَارَة 2).mp4,Diverse,الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ,الإمارات العربية المتحدة,2,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ (إِشَارَة 3).mp4,Diverse,الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ,الإمارات العربية المتحدة,3,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ (إِشَارَة 4).mp4,Diverse,الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ,الإمارات العربية المتحدة,4,2,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِنْجَلِيزِيَّةُ.mp4,Diverse,الإِنْجَلِيزِيَّةُ,الإنجليزية,,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِنْجِيلُ (إِشَارَة 1).mp4,Diverse,الإِنْجِيلُ,الإنجيل,1,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِنْجِيلُ (إِشَارَة 2).mp4,Diverse,الإِنْجِيلُ,الإنجيل,2,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآخِرَةُ (إِشَارَة 1).mp4,Diverse,الآخِرَةُ,الآخرة,1,-1,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآخِرَةُ (إِشَارَة 2).mp4,Diverse,الآخِرَةُ,الآخرة,2,-1,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآخِرَةُ (إِشَارَة 3).mp4,Diverse,الآخِرَةُ,الآخرة,3,-1,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآنَ (إِشَارَة 1).mp4,Diverse,الآنَ,الآن,1,-1,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآنَ (إِشَارَة 3).mp4,Diverse,الآنَ,الآن,3,-1,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/البَحْرَيْن.mp4,Diverse,البَحْرَيْن,البحرين,,5,left,lexical
