relative_path,category,word_arabic,word_arabic_stripped,variant,split
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الأَذَانُ.mp4,Diverse,الأَذَانُ,الأذان,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الأَمْنُ الوَطَنِيُّ.mp4,Diverse,الأَمْنُ الوَطَنِيُّ,الأمن الوطني,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الأُرْدُنُ.mp4,Diverse,الأُرْدُنُ,الأردن,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ (إِشَارَة 1).mp4,Diverse,الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ,الإمارات العربية المتحدة,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ (إِشَارَة 2).mp4,Diverse,الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ,الإمارات العربية المتحدة,2,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِنْجَلِيزِيَّةُ.mp4,Diverse,الإِنْجَلِيزِيَّةُ,الإنجليزية,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِنْجِيلُ (إِشَارَة 1).mp4,Diverse,الإِنْجِيلُ,الإنجيل,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآخِرَةُ (إِشَارَة 1).mp4,Diverse,الآخِرَةُ,الآخرة,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآنَ (إِشَارَة 1).mp4,Diverse,الآنَ,الآن,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/البَحْرَيْن.mp4,Diverse,البَحْرَيْن,البحرين,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/البِطَاقَةُ الوَطَنِيَّةُ (إِشَارَة 1).mp4,Diverse,البِطَاقَةُ الوَطَنِيَّةُ,البطاقة الوطنية,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الجَدِيدَة (إِشَارَة 1).mp4,Diverse,الجَدِيدَة,الجديدة,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الجَزَائِر.mp4,Diverse,الجَزَائِر,الجزائر,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الجَمْعُ.mp4,Diverse,الجَمْعُ,الجمع,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحَاجِبُ.mp4,Diverse,الحَاجِبُ,الحاجب,,train
