sign,n_frames,raw_jerk,raw_vel_std,raw_acc_std,raw_hand_flicker,raw_finger_instab,raw_window_dtw,raw_stable,smooth_jerk,smooth_hand_flicker,smooth_finger_instab,smooth_stable,post_jerk,post_hand_flicker,post_finger_instab,post_stable
أَنَا,150,0.29374,0.18019,0.19354,0.2819,0.002848,0.64316,False,0.05803,0.3289,0.002748,False,0.00672,0.0,0.00147,True
الأَذَانُ,150,0.15836,0.09178,0.0816,0.1007,0.000986,0.41765,False,0.02877,0.1409,0.000954,False,0.00841,0.0,0.000632,True
السَّلَامُ عَلَيْكُمْ,150,0.6172,0.38038,0.49223,0.2081,0.004275,0.66771,False,0.1178,0.2081,0.004131,False,0.0054,0.0,0.003042,True
المَغْرِبُ,150,0.35726,0.24854,0.25637,0.2752,0.002407,0.65718,False,0.06752,0.2215,0.002286,False,0.00839,0.0,0.001087,True
اليَوْم,150,0.37459,0.23235,0.28484,0.2685,0.002001,0.6354,False,0.072,0.2282,0.001916,False,0.00832,0.0,0.000755,True
شُكْرًا,150,0.20654,0.1521,0.13709,0.2013,0.001962,0.61411,False,0.03786,0.2617,0.00191,False,0.00835,0.0,0.000936,True
صَلَاةٌ,150,0.33031,0.19116,0.2055,0.3221,0.003087,0.62484,False,0.0646,0.3221,0.002952,False,0.00581,0.0,0.001644,True
كِتَابٌ,150,0.16846,0.10675,0.08459,0.1275,0.00111,0.40027,False,0.03463,0.1611,0.001075,False,0.00867,0.0,0.00063,True
مَاءٌ,150,0.21805,0.11052,0.10968,0.1745,0.002778,0.54277,False,0.04029,0.1544,0.00274,False,0.00556,0.0,0.001741,True
مَدْرَسَةٌ,150,0.30931,0.15762,0.20813,0.2148,0.003012,0.58475,False,0.05181,0.2282,0.002956,False,0.00717,0.0,0.001709,True
